"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.331828375E0,-3.296894073E0,-9.047335968E0,2.083966370E0
2.341871375E0,-3.645219727E0,-9.002129974E0,2.076481934E0
2.351913375E0,-3.426075439E0,-8.413853302E0,2.302362213E0
2.361955375E0,-2.916834412E0,-8.256680145E0,2.512225800E0
2.371998375E0,-2.523302765E0,-8.293653259E0,2.493514709E0
2.382040375E0,-2.597847748E0,-8.568332062E0,2.806813202E0
2.392083375E0,-2.903811493E0,-9.064101105E0,2.794987793E0
2.402125375E0,-3.124602356E0,-9.378447418E0,2.559826813E0
2.412168375E0,-3.247945862E0,-9.269773407E0,2.671793976E0
2.422210375E0,-3.380869446E0,-9.054221649E0,2.536026306E0
2.432253375E0,-3.581751709E0,-9.135652313E0,2.353855133E0
2.442295375E0,-3.812571716E0,-9.319320374E0,2.335144043E0
2.452337375E0,-3.891906738E0,-9.125174103E0,2.300416260E0
2.462380375E0,-3.958817596E0,-8.838520203E0,2.078727264E0
2.472422375E0,-4.066144409E0,-8.645870819E0,1.928739166E0
2.482465375E0,-4.119583282E0,-8.563991089E0,1.791474609E0
2.492507375E0,-4.000580750E0,-8.444838867E0,1.631607056E0
2.502550375E0,-3.859424286E0,-8.301287384E0,1.497336273E0
2.512592375E0,-3.716621246E0,-8.297395477E0,1.334924011E0
2.522635375E0,-3.555406494E0,-8.162226562E0,1.191222839E0
2.532677375E0,-3.390599213E0,-7.877967682E0,1.024319916E0
2.542720375E0,-3.241808624E0,-7.458240509E0,8.647517395E-1
2.552762375E0,-3.054847412E0,-7.085814972E0,5.930667114E-1
2.562804375E0,-2.884501648E0,-6.666686554E0,3.311114502E-1
2.572847375E0,-2.693349152E0,-6.329587555E0,1.438508606E-1
2.582889375E0,-2.440524902E0,-5.980962524E0,8.113128662E-2
2.592932375E0,-2.239193573E0,-5.575605469E0,-1.766326904E-2
2.602974375E0,-2.024539948E0,-5.229674835E0,-1.356179810E-1
2.613017375E0,-1.888472900E0,-4.934338989E0,-1.941462708E-1
2.623059375E0,-1.869312744E0,-4.700824585E0,-2.341131592E-1
2.633102375E0,-1.935624847E0,-4.456831970E0,-2.170486450E-1
2.643144375E0,-2.180515594E0,-4.567002869E0,-2.883004761E-1
2.653187375E0,-2.590363312E0,-4.875661011E0,-4.315525818E-1
2.663229375E0,-2.986140289E0,-5.198090515E0,-5.942642212E-1
2.673271375E0,-3.446582794E0,-5.738167419E0,-7.159611511E-1
2.683314375E0,-3.905079346E0,-6.315965881E0,-7.990383911E-1
2.693356375E0,-4.131558380E0,-6.787485352E0,-8.556207275E-1
2.703399375E0,-3.989653473E0,-7.086264038E0,-7.120692444E-1
2.713441375E0,-3.703448639E0,-7.120393066E0,-4.978646851E-1
2.723484375E0,-3.472329254E0,-6.998546448E0,-2.863545227E-1
2.733526375E0,-3.249293060E0,-6.748266907E0,4.296066284E-2
2.743569375E0,-3.104993134E0,-6.513854370E0,1.487905884E-1
