"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
2.654271417E0,3.260519714E0,-1.002869522E1,-6.458020477E0
2.664311417E0,8.634045410E-1,-9.228010254E0,-3.517535248E0
2.674352417E0,-8.681945801E-1,-8.261619873E0,-2.038311310E0
2.684393417E0,-2.490520935E0,-6.434669037E0,-2.132016449E0
2.694433417E0,-3.132236481E0,-6.318360901E0,-2.599644012E0
2.704474417E0,-2.377056885E0,-8.777447205E0,8.171507263E-1
2.714514417E0,-1.094823303E0,-8.939111023E0,1.501826935E0
2.724555417E0,-6.366261292E-1,-8.894204407E0,-2.260299683E-1
2.734595417E0,-6.051914978E-1,-8.870254211E0,-1.360670471E0
2.744636417E0,-5.740562439E-1,-8.780141602E0,-1.297052765E0
2.754676417E0,-8.382568359E-3,-8.990903320E0,-1.312171326E0
2.764717417E0,1.391057281E0,-9.870324554E0,-1.577719116E0
2.774758417E0,1.908381500E0,-1.099463654E1,-1.281934204E0
2.784798417E0,1.948797455E0,-1.208077789E1,-6.215075684E-1
2.794839417E0,1.623673553E0,-1.247880020E1,-8.473878479E-1
2.804879417E0,1.047521667E0,-1.251532425E1,-5.056484985E-1
2.814920417E0,6.926097107E-1,-1.290526337E1,3.483256531E-1
2.824960417E0,5.173242188E-1,-1.356643845E1,5.839356995E-1
2.835001417E0,5.069956970E-1,-1.221879089E1,1.508862305E0
2.845041417E0,6.394702148E-1,-1.202958435E1,1.339115295E0
2.855082417E0,7.924520874E-1,-1.166898422E1,8.123606873E-1
2.865123417E0,7.990383911E-1,-1.150193161E1,5.285508728E-1
2.875163417E0,9.848020935E-1,-1.126452530E1,5.888754272E-1
2.885204417E0,1.154698792E0,-1.052191956E1,8.764274597E-1
2.895244417E0,1.195713501E0,-9.667945404E0,1.575324097E0
2.905285417E0,2.592608643E-1,-9.123677216E0,1.081501007E0
2.915325417E0,1.598974915E0,-7.451953583E0,2.134561157E0
2.925366417E0,2.254012756E0,-6.380332031E0,2.702779541E0
2.935407417E0,1.666484528E0,-7.824079742E0,3.006348267E0
2.945447417E0,-1.386117554E-1,-1.048315018E1,1.710792389E0
2.955488417E0,-1.021625519E0,-1.026939468E1,-6.042933655E-1
2.965528417E0,-1.666783905E0,-1.014126114E1,-1.454974365E-1
2.975569417E0,-3.287164307E0,-1.059406952E1,-4.102967834E-1
2.985609417E0,-4.296515350E0,-1.078088104E1,-1.803898773E0
2.995650417E0,-4.764891357E0,-1.071846085E1,-1.907483368E0
3.005690417E0,-5.586383057E0,-1.049722092E1,-7.018904114E-1
3.015731417E0,-5.130880280E0,-8.474028168E0,1.284329224E0
