"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
5.737328875E0,1.412911835E0,-1.334879105E1,-1.801653442E0
5.747371875E0,2.703677673E0,-1.498114655E1,-4.481680298E-1
5.757414875E0,4.130959625E0,-1.640678192E1,1.600022736E0
5.767457875E0,5.388045502E0,-1.684551956E1,3.256328430E0
5.777501875E0,5.994883575E0,-1.624451935E1,4.680466919E0
5.787544875E0,5.375172272E0,-1.484253479E1,5.098996582E0
5.797587875E0,3.572471008E0,-1.263073425E1,3.683839417E0
5.807630875E0,9.705816650E-1,-1.026595184E1,1.848506012E0
5.817674875E0,-1.907333679E0,-8.827443237E0,7.882608032E-1
5.827717875E0,-4.027524719E0,-8.665030975E0,6.593788147E-1
5.837760875E0,-5.179678802E0,-9.618398438E0,8.273295593E-1
5.847803875E0,-4.984035645E0,-1.131107849E1,1.539847870E0
5.857846875E0,-4.329746246E0,-1.297801208E1,2.257305908E0
5.867890875E0,-4.421355743E0,-1.415097290E1,2.818039856E0
5.877933875E0,-4.794080658E0,-1.468072128E1,4.209845581E0
5.887976875E0,-5.176984406E0,-1.442460388E1,5.196294250E0
5.898019875E0,-4.843927002E0,-1.346884140E1,6.198011169E0
5.908062875E0,-3.692371674E0,-1.171419022E1,6.070626068E0
5.918106875E0,-2.871329041E0,-9.745933228E0,3.750899963E0
5.928149875E0,-1.979633331E0,-7.981701965E0,3.824546814E-1
5.938192875E0,-6.611750793E-1,-7.160809021E0,-1.730850677E0
5.948235875E0,7.357200623E-1,-7.310647430E0,-2.848726044E0
5.958279875E0,2.060315552E0,-7.963739319E0,-2.503394165E0
5.968322875E0,3.053649902E0,-8.612190857E0,-1.810934143E0
5.978365875E0,3.221600647E0,-8.564290466E0,-8.087681580E-1
5.988408875E0,2.682421875E0,-7.799830170E0,4.450245667E-1
5.998451875E0,1.880240021E0,-7.074438629E0,1.177750854E0
